iter	Logloss
152	0.4561812069
153	0.4559285353
154	0.4556482277
155	0.4553192667
156	0.4549605842
157	0.4546915972
158	0.4544595912
159	0.4542770846
160	0.4539442897
161	0.4537520367
162	0.4534616676
163	0.4530706374
164	0.4528006246
165	0.4526595809
166	0.4524624051
167	0.4521218031
168	0.4516994456
169	0.4514858721
170	0.4511315609
171	0.4509157422
172	0.4506876781
173	0.4503884887
174	0.450183806
175	0.4499982615
176	0.4497627598
177	0.4495018304
178	0.4493581346
179	0.4490912162
180	0.4487889529
181	0.4484967191
182	0.448283087
183	0.4481418961
184	0.44781014
185	0.4474819501
186	0.4472653582
187	0.4470965188
188	0.4468558866
189	0.4466559681
190	0.4464675797
191	0.4463405425
192	0.4461046724
193	0.4459311153
194	0.4456911731
195	0.4454925761
196	0.4451707067
197	0.4450457745
198	0.4448916935
199	0.4446469174
200	0.4444481332
201	0.4442831833
202	0.4439850394
203	0.4437729271
204	0.4433265349
205	0.44306334
206	0.4429375994
207	0.4426766286
208	0.4424765088
209	0.442259217
210	0.4419996339
211	0.4416927783
212	0.4415171928
213	0.4412180627
214	0.4410495573
215	0.4408609154
216	0.4405976344
217	0.440415917
218	0.4401844587
219	0.4400432602
220	0.4399147661
221	0.4396233947
222	0.4394830555
223	0.4391917684
224	0.4390661344
225	0.4388206533
226	0.4385372129
227	0.4383549607
228	0.4381648804
229	0.4377480733
230	0.437522095
231	0.4372840582
232	0.4371739983
233	0.4370426041
234	0.4368883309
235	0.4367795718
236	0.4365086031
237	0.4362950903
238	0.4359394045
239	0.4356502013
240	0.4353918222
241	0.4352312199
242	0.4350415083
243	0.4348429676
244	0.4346818108
245	0.4345761524
246	0.4343722222
247	0.4341751597
248	0.4339070231
249	0.433570199
250	0.4333171379
251	0.4330531125
252	0.4328918463
253	0.4326476558
254	0.4324841914
255	0.4322931075
256	0.432145043
257	0.4319011433
258	0.4317379253
259	0.4315845191
260	0.4314089183
261	0.431211981
262	0.4310102409
263	0.4307846769
264	0.430614075
265	0.4304646963
266	0.4303282664
267	0.4301466947
268	0.4299923556
269	0.4299016463
270	0.4297834842
271	0.429577439
272	0.4294096764
273	0.4293204663
274	0.4292113847
275	0.4291129566
276	0.4289698061
277	0.4287336612
278	0.4285878605
279	0.4284372381
280	0.4282258237
281	0.4279098941
282	0.427785765
283	0.4275461978
284	0.4274141698
285	0.4271757
286	0.4269036981
287	0.4266767761
288	0.4264418972
289	0.4261637799
290	0.4259538741
291	0.425692616
292	0.4255355341
293	0.4252949347
294	0.4251197906
295	0.4249699148
296	0.424809971
297	0.4245753073
298	0.4244578861
299	0.4243157149
300	0.42422343
301	0.4240194393
302	0.4237441975
303	0.4234401228
304	0.4231567297
305	0.4229165259
306	0.4227143697
307	0.4224000641
308	0.4221865624
309	0.4220558884
310	0.4218443454
311	0.4216984274
312	0.4215387007
313	0.4214129673
314	0.4212432399
315	0.421113117
316	0.4209072022
317	0.4206667776
318	0.4205718836
319	0.4202676294
320	0.4200906411
321	0.4199486725
322	0.4198275785
323	0.419772937
324	0.4196091034
325	0.4193315412
326	0.4191336955
327	0.4188898935
328	0.4187512171
329	0.4186246655
330	0.4183927598
331	0.4182417651
332	0.4181648555
333	0.4179964653
334	0.4178192388
335	0.4175983695
336	0.4174604917
337	0.4173421667
338	0.4171924189
339	0.4170088079
340	0.4170084422
341	0.4167650178
342	0.4165226706
343	0.4163461538
344	0.4162614747
345	0.4161400975
346	0.4160192578
347	0.4158747524
348	0.4155830473
349	0.4154420772
350	0.4152088546
351	0.4150491698
352	0.4149442324
353	0.4146762124
354	0.4145572606
355	0.4144483788
356	0.4142970035
357	0.41412622
358	0.4139934048
359	0.4138279985
360	0.4137212164
361	0.4135376727
362	0.4134183548
363	0.4132075929
364	0.4130291543
365	0.4128114279
366	0.4126536311
367	0.4125212744
368	0.4123583382
369	0.412180831
370	0.4120532088
371	0.4118750041
372	0.411702096
373	0.4115090941
374	0.4113045393
375	0.4111046073
376	0.4108750415
377	0.4107964569
378	0.4106248851
379	0.4104607954
380	0.41032222
381	0.4102320399
382	0.4101253868
383	0.4099914147
384	0.409894344
385	0.4097758705
386	0.4095263941
387	0.4093899434
388	0.4091972804
389	0.4091424441
390	0.4089039095
391	0.4087968657
392	0.4085900692
393	0.4084355813
394	0.4083180475
395	0.4081418107
396	0.4079692609
397	0.4077864905
398	0.4076687929
399	0.4074075453
400	0.4072316908
401	0.4070790719
402	0.4069024338
403	0.4067436151
404	0.406593894
405	0.4064614755
406	0.4062109987
407	0.4060454611
408	0.4058158553
409	0.4057153429
410	0.4055445806
411	0.4054239998
412	0.405238754
413	0.4051276398
414	0.4048870763
415	0.4046956494
416	0.4045335382
417	0.4043927327
418	0.4041223401
419	0.4039638475
420	0.4037544126
421	0.4036297305
422	0.4034582785
423	0.4032759337
424	0.4030631991
425	0.4028427802
426	0.4025198182
427	0.4023889175
428	0.4021581272
429	0.4018912163
430	0.4017219374
431	0.4014757622
432	0.4013383008
433	0.4011851701
434	0.4010720977
435	0.400858795
436	0.4007460864
437	0.4005380003
438	0.4003409247
439	0.4002392804
440	0.4000759738
441	0.3998811956
442	0.3996473535
443	0.3995288833
444	0.3993787911
445	0.3990716708
446	0.3989473513
447	0.3987447905
448	0.398437498
449	0.3982108237
450	0.3980664272
451	0.3979398237
452	0.3977512169
453	0.3975891791
454	0.3973704795
455	0.3972417912
456	0.3970779071
457	0.3969190532
458	0.396758933
459	0.3966268838
460	0.3964395717
461	0.3962241488
462	0.3960679878
463	0.395948416
464	0.3957805163
465	0.3956805642
466	0.3954295032
467	0.3952248448
468	0.3950580651
469	0.3949670366
470	0.3947988198
471	0.3946162867
472	0.3944113987
473	0.3941407021
474	0.3940333203
475	0.3939067874
476	0.3937119116
477	0.3935285872
478	0.3934370498
479	0.3933136564
480	0.3931691096
481	0.3930230604
482	0.3928266996
483	0.3926835015
484	0.3925142051
485	0.392310071
486	0.392094685
487	0.3918554721
488	0.3917008398
489	0.3915800903
490	0.3914105602
491	0.391286426
492	0.3910695363
493	0.3909489746
494	0.3907950279
495	0.3905639389
496	0.3903537471
497	0.3902483066
498	0.3900546508
499	0.3899160943
500	0.3897080138
501	0.3895959522
502	0.3894453638
503	0.3892794987
504	0.389105473
505	0.3889006089
506	0.3887869952
507	0.3885821827
508	0.3884672773
509	0.3883117301
510	0.3881417413
511	0.3879912261
512	0.3878527251
513	0.3876939614
514	0.3875342449
515	0.3874225256
516	0.3872638174
517	0.3870958719
518	0.3868802663
519	0.3866866278
520	0.3865402958
521	0.3863980367
522	0.3862355287
523	0.3861110978
524	0.385948776
525	0.3857607031
526	0.385663537
527	0.3854474483
528	0.3852618218
529	0.3850529756
530	0.3847181833
531	0.3845281213
532	0.3843641159
533	0.3842561131
534	0.3841136338
535	0.3840365045
536	0.3838819734
537	0.3836994028
538	0.383499567
539	0.3832910809
540	0.3831105505
541	0.3829396316
542	0.3827462636
543	0.3825905793
544	0.3824793279
545	0.3823167067
546	0.3821494489
547	0.3820249393
548	0.3818993202
549	0.3817001396
550	0.381573067
551	0.381387061
552	0.3812194661
553	0.3810611547
554	0.3809270267
555	0.3807565765
556	0.3806066481
557	0.3805112176
558	0.3803695801
559	0.3802606119
560	0.3801131986
561	0.3800325916
562	0.3799275994
563	0.3798145023
564	0.3796534575
565	0.3794852122
566	0.3793477461
567	0.3791643067
568	0.3789864596
569	0.3788405154
570	0.3786950984
571	0.3786258314
572	0.3785103829
573	0.3783338549
574	0.3780924074
575	0.377938389
576	0.3778229358
577	0.3776695413
578	0.3775371389
579	0.3774010936
580	0.3772670132
581	0.3771406177
582	0.3769927198
583	0.3768247388
584	0.3766817184
585	0.3765438143
586	0.3764009013
587	0.3762829996
588	0.3761092884
589	0.3759471123
590	0.3758177066
591	0.3756141725
592	0.375475149
593	0.3753384683
594	0.375189532
595	0.3750686307
596	0.3749019323
597	0.3747896286
598	0.3746126906
599	0.3743322637
600	0.3742089678
601	0.3740783988
602	0.3738995146
603	0.3737249084
604	0.3734650211
605	0.3732286889
606	0.3731293169
607	0.3730111229
608	0.3728901115
609	0.3727830631
610	0.3726963312
611	0.3725743769
612	0.3724281793
613	0.3723061433
614	0.37216744
615	0.3720472277
616	0.3719046819
617	0.3716956509
618	0.3715699284
619	0.371370591
620	0.3711892985
621	0.3711022294
622	0.3710006687
623	0.3708790412
624	0.3707444816
625	0.3705656502
626	0.370455038
627	0.3703032761
628	0.3702013027
629	0.3700690219
630	0.3699538065
631	0.3698275771
632	0.3696576908
633	0.3695080338
634	0.3693936765
635	0.3692446935
636	0.3690638779
637	0.3689853725
638	0.3688710169
639	0.3687448711
640	0.368555111
641	0.3683960038
642	0.368283989
643	0.3681703985
644	0.3680156864
645	0.3678443235
646	0.3676675081
647	0.3675128772
648	0.3673521858
649	0.3672004813
650	0.367036722
651	0.3668707138
652	0.3667932442
653	0.3666188457
654	0.3664654596
655	0.3663901661
656	0.3662726817
657	0.3660574354
658	0.3659854473
659	0.3658469428
660	0.3656594203
661	0.3655423742
662	0.3653638886
663	0.3652500219
664	0.3651667791
665	0.365095377
666	0.3649463775
667	0.3648982577
668	0.3647822665
669	0.3647200411
670	0.3646383123
671	0.3644784487
672	0.3643794014
673	0.3642918416
674	0.364182148
675	0.364015225
676	0.3639247664
677	0.3637453382
678	0.3635742312
679	0.3635046745
680	0.3633740303
681	0.3632398677
682	0.3631209886
683	0.3629955382
684	0.3628774537
685	0.3627772162
686	0.3626312454
687	0.3625771962
688	0.3624313795
689	0.3621883172
690	0.3620492441
691	0.3619534696
692	0.3618472198
693	0.3617054846
694	0.3615753891
695	0.3614097844
696	0.3613337137
697	0.3612253791
698	0.361113696
699	0.3609620014
700	0.3608664921
701	0.3607864884
702	0.3606514395
703	0.3605003396
704	0.3603757969
705	0.3602461575
706	0.360084328
707	0.3599755134
708	0.3599022909
709	0.359773453
710	0.3596306719
711	0.3595731114
712	0.3594107835
713	0.3592758245
714	0.3590903833
715	0.3589608448
716	0.3588899791
717	0.3587528408
718	0.3586282413
719	0.3585079861
720	0.3583892881
721	0.358319352
722	0.3581967323
723	0.3580514664
724	0.3579880704
725	0.357826784
726	0.3576875531
727	0.3575475981
728	0.3573635352
729	0.3572289651
730	0.3570605444
731	0.3569320593
732	0.3567883251
733	0.3566570392
734	0.35657316
735	0.3564253127
736	0.3562238601
737	0.3560599257
738	0.355922819
739	0.3557993211
740	0.3556548952
741	0.3555142158
742	0.3553956801
743	0.3552566183
744	0.3551400537
745	0.3549998301
746	0.354900484
747	0.3547865296
748	0.3546985332
749	0.3545920171
750	0.3545128971
751	0.3543350837
752	0.3542408198
753	0.3541289104
754	0.3539884032
755	0.3538352792
756	0.3537731043
757	0.3536056288
758	0.3535043029
759	0.3533784809
760	0.3533062
761	0.3531735605
762	0.3530282357
763	0.3529024977
764	0.352789142
765	0.3525961136
766	0.352447791
767	0.352289286
768	0.3521912098
769	0.352052421
770	0.351936321
771	0.3518000183
772	0.3515922572
773	0.3514934595
774	0.3513551294
775	0.3511792125
776	0.3509834973
777	0.3507583263
778	0.3506828682
779	0.3504742751
780	0.350340471
781	0.3502082147
782	0.3500588385
783	0.3498541898
784	0.3496962103
785	0.3496029611
786	0.3494757898
787	0.349362971
788	0.3492211031
789	0.3490695132
790	0.3488819379
791	0.3487362621
792	0.3486683042
793	0.3485600031
794	0.3484174154
795	0.3482578555
796	0.3481526644
797	0.3480386707
798	0.347957342
799	0.3478352021
800	0.3476964698
801	0.3476189772
802	0.347459705
803	0.3473559698
804	0.3472834355
805	0.3472174703
806	0.3471130368
807	0.3469973948
808	0.3469116125
809	0.3468414806
810	0.3466577738
811	0.346510465
812	0.3463764664
813	0.3462426684
814	0.3461383047
815	0.3460496762
816	0.3459126376
817	0.3457755909
818	0.3456028036
819	0.345536748
820	0.3454207336
821	0.3452483237
822	0.3451318349
823	0.3450205969
824	0.3449310562
825	0.3448276533
826	0.3447394164
827	0.3446381774
828	0.3445562419
829	0.3444259884
830	0.3443303876
831	0.3441558651
832	0.3440345673
833	0.3438904538
834	0.3437003235
835	0.3436190043
836	0.3434784692
837	0.3433993785
838	0.3433495475
839	0.3432645264
840	0.343168807
841	0.3430173937
842	0.3429246323
843	0.3428391583
844	0.3427093195
845	0.3425784689
846	0.3424129251
847	0.3423336245
848	0.3422143468
849	0.3421390625
850	0.3420113108
851	0.3418885336
852	0.3418271622
853	0.3417172955
854	0.3416750129
855	0.3415088564
856	0.3413581282
857	0.341267932
858	0.3411811105
859	0.3410497223
860	0.3409106611
861	0.3407855326
862	0.3407011008
863	0.3405728052
864	0.3403884938
865	0.3403168624
866	0.3401890146
867	0.3400928954
868	0.3399571445
869	0.3398105051
870	0.3397242861
871	0.3396112671
872	0.3394603614
873	0.3393361601
874	0.339162642
875	0.3390459668
876	0.3388707886
877	0.3388040252
878	0.3386830052
879	0.3385952438
880	0.3384778004
881	0.3383469958
882	0.3382421091
883	0.3381436649
884	0.3379842618
885	0.3378774673
886	0.3378044442
887	0.3377599229
888	0.3376596282
889	0.3374556232
890	0.3373321656
891	0.3372294742
892	0.3370810962
893	0.3369523438
894	0.3368280574
895	0.3367139702
896	0.3366109833
897	0.3365009491
898	0.3363851365
899	0.3362673509
900	0.3361050306
901	0.3359682095
902	0.3357732257
903	0.3356330372
904	0.3355001351
905	0.3353174251
906	0.3351850009
907	0.3350352731
908	0.3348239342
909	0.3347292238
910	0.3346419426
911	0.3345517612
912	0.3344430287
913	0.3342878101
914	0.3341301027
915	0.3339277709
916	0.3338371819
917	0.333721786
918	0.3336173174
919	0.3335518323
920	0.3334397635
921	0.3332667618
922	0.3330426483
923	0.3329178851
924	0.3328170487
925	0.3326142329
926	0.332516709
927	0.332397839
928	0.332279344
929	0.3321445451
930	0.332011205
931	0.3318593259
932	0.3317315282
933	0.3315781504
934	0.3314285187
935	0.3312978745
936	0.3311781735
937	0.3310175033
938	0.3308667777
939	0.3307332289
940	0.3306429578
941	0.3304929952
942	0.3303255854
943	0.3302008339
944	0.3300210888
945	0.3298873144
946	0.3297712813
947	0.3296547867
948	0.3295275584
949	0.3294340649
950	0.3293530005
951	0.3291665311
952	0.3290557614
953	0.3289689416
954	0.3288507287
955	0.3287070943
956	0.3286310205
957	0.3285595255
958	0.3284007807
959	0.3282769684
960	0.3281829834
961	0.3280836509
962	0.3279708596
963	0.3278501345
964	0.3277135171
965	0.327592107
966	0.3274472981
967	0.3272697984
968	0.3271440339
969	0.3270298434
970	0.3268986411
971	0.3268155544
972	0.3267589203
973	0.3266172398
974	0.3265008373
975	0.3263660927
976	0.3262962466
977	0.3261902262
978	0.3260675708
979	0.3259535978
980	0.3258467687
981	0.3257884517
982	0.3256522045
983	0.3255415676
984	0.3254606282
985	0.3253221022
986	0.3252268641
987	0.3250201122
988	0.3248939285
989	0.3247620384
990	0.3246649116
991	0.3245207539
992	0.3243355991
993	0.3242447015
994	0.3241195552
995	0.3240287871
996	0.323945047
997	0.32384378
998	0.3237106606
999	0.3236095781
