iter	RMSE
399	2279164.123
400	2278928.543
401	2278692.026
402	2278561.899
403	2278378.762
404	2278271.217
405	2278064.792
406	2277750.668
407	2277568.832
408	2277310.494
409	2277045.58
410	2276800.628
411	2276532.272
412	2276218.949
413	2275978.564
414	2275820.315
415	2275652.119
416	2275279.889
417	2274975.97
418	2274357.179
419	2274071.536
420	2273872.794
421	2273711.148
422	2273495.945
423	2273308.275
424	2273202.93
425	2273086.018
426	2272851.684
427	2272579.381
428	2272153.486
429	2271939.529
430	2271564.5
431	2271384.575
432	2271135.825
433	2270694.844
434	2270597.021
435	2270281.215
436	2270098.514
437	2269974.167
438	2269819.702
439	2269448.752
440	2269260.765
441	2268834.638
442	2268598.571
443	2268318.76
444	2268095.193
445	2267920.847
446	2267708.373
447	2267441.206
448	2267139.902
449	2266951.623
450	2266715.906
451	2266388.997
452	2266136.946
453	2265891.5
454	2265500.869
455	2265163.77
456	2264970.811
457	2264862.124
458	2264590.851
459	2264387.142
460	2264299.672
461	2264091.238
462	2263779.344
463	2263570.488
464	2263348.748
465	2263253.13
466	2263121.677
467	2262892.763
468	2262659.482
469	2262336.403
470	2262064.654
471	2261899.235
472	2261668.642
473	2261398.009
474	2261175.105
475	2260820.723
476	2260547.208
477	2260329.682
478	2260125.385
479	2259582.37
480	2259420.86
481	2259180.387
482	2258877.116
483	2258518.151
484	2258297.157
485	2258121.699
486	2257927.813
487	2257641.914
488	2257291.572
489	2257040.342
490	2256895.54
491	2256817.479
492	2256674.529
493	2256464.831
494	2256241.491
495	2256029.064
496	2255803.207
497	2255531.722
498	2255009.47
499	2254688.15
500	2254462.733
501	2254157.108
502	2254055.201
503	2253876.088
504	2253618.814
505	2253483.737
506	2253275.938
507	2253037.498
508	2252778.11
509	2252507.994
510	2251953.823
511	2251722.639
512	2251482.693
513	2251275.043
514	2251080.424
515	2250881.36
516	2250655.248
517	2250302.413
518	2250033.945
519	2249811.208
520	2249519.311
521	2249365.153
522	2249055.893
523	2248882.752
524	2248764.983
525	2248536.975
526	2248274.416
527	2248079.934
528	2247846.105
529	2247620.285
530	2247417.96
531	2247087.885
532	2246884.919
533	2246646.292
534	2246483.09
535	2246090.829
536	2245877.097
537	2245643.053
538	2245366.49
539	2245114.216
540	2244900.46
541	2244659.716
542	2244438.424
543	2244235.649
544	2243956.938
545	2243672.897
546	2243521.824
547	2243321.762
548	2243144.003
549	2242989.142
550	2242842.786
551	2242685.913
552	2242392.412
553	2242170.127
554	2241919.505
555	2241759.924
556	2241596.649
557	2241305.606
558	2241170.889
559	2240932.986
560	2240689.256
561	2240405.083
562	2240237.836
563	2240074.192
564	2239892.279
565	2239669.499
566	2239489.837
567	2239325.758
568	2239051.546
569	2238636.179
570	2238323.979
571	2238117.526
572	2237852.089
573	2237639.001
574	2237454.932
575	2237126.455
576	2236919.507
577	2236674.991
578	2236440.284
579	2236265.661
580	2235910.536
581	2235712.682
582	2235465.254
583	2235158.172
584	2234820.044
585	2234551.967
586	2234367.002
587	2234075.842
588	2233827.775
589	2233616.057
590	2233425.433
591	2233244.371
592	2233109.052
593	2232900.71
594	2232707.8
595	2232502.042
596	2232379.295
