iter	Passed	Remaining
404	7734	11363
405	7777	11378
406	7827	11404
407	7875	11426
408	7901	11417
409	7943	11430
410	7989	11449
411	8029	11459
412	8051	11444
413	8070	11423
414	8097	11414
415	8118	11397
416	8137	11376
417	8168	11373
418	8211	11385
419	8249	11391
420	8285	11395
421	8351	11438
422	8414	11478
423	8476	11515
424	8545	11561
425	8615	11609
426	8665	11627
427	8716	11648
428	8811	11727
429	8875	11765
430	8955	11822
431	9030	11873
432	9092	11906
433	9145	11927
434	9216	11971
435	9375	12127
436	9416	12131
437	9480	12164
438	9623	12298
439	9759	12421
440	9872	12514
441	9975	12593
442	10042	12626
443	10106	12655
444	10155	12665
445	10219	12693
446	10295	12736
447	10385	12796
448	10492	12876
449	10555	12901
450	10640	12952
451	10706	12980
452	10758	12990
453	10780	12965
454	10843	12987
455	10879	12978
456	10919	12974
457	10973	12985
458	11014	12981
459	11068	12993
460	11093	12970
461	11145	12978
462	11171	12956
463	11188	12924
464	11202	12888
465	11221	12859
466	11234	12822
467	11254	12793
468	11276	12767
469	11304	12747
470	11350	12748
471	11397	12749
472	11425	12729
473	11510	12773
474	11538	12753
475	11564	12730
476	11587	12704
477	11626	12696
478	11637	12658
479	11657	12628
480	11681	12603
481	11701	12575
482	11731	12557
483	11763	12541
484	11792	12521
485	11822	12503
486	11853	12486
487	11914	12500
488	11935	12472
489	11961	12449
490	11971	12410
491	11985	12375
492	11997	12338
493	12011	12303
494	12025	12268
495	12035	12230
496	12046	12191
497	12059	12156
498	12072	12120
499	12084	12084
500	12096	12048
501	12115	12018
502	12142	11997
503	12159	11966
504	12178	11937
505	12194	11905
506	12225	11888
507	12250	11864
508	12300	11865
509	12328	11845
510	12346	11815
511	12362	11783
512	12377	11750
513	12391	11716
514	12407	11684
515	12422	11652
516	12438	11620
517	12448	11583
518	12461	11549
519	12473	11514
520	12485	11478
521	12503	11449
522	12520	11419
523	12529	11381
524	12542	11348
525	12553	11312
526	12563	11276
527	12575	11241
528	12587	11207
529	12596	11170
530	12610	11137
531	12623	11104
532	12632	11068
533	12646	11035
534	12659	11003
535	12674	10972
536	12689	10941
537	12700	10906
538	12712	10872
539	12726	10840
540	12741	10810
541	12757	10780
542	12770	10747
543	12786	10717
544	12800	10686
545	12821	10661
546	12833	10628
547	12843	10593
548	12856	10561
549	12876	10535
550	12900	10512
551	12914	10481
552	12930	10452
553	12943	10420
554	12958	10390
555	12971	10358
556	12985	10327
557	12998	10296
558	13013	10266
559	13026	10234
560	13040	10204
561	13053	10173
562	13067	10143
563	13077	10109
564	13088	10077
565	13101	10046
566	13112	10013
567	13124	9981
568	13139	9952
569	13157	9925
570	13174	9898
571	13187	9867
572	13200	9836
573	13213	9806
574	13224	9774
575	13238	9745
576	13253	9716
577	13267	9686
578	13294	9666
579	13326	9650
580	13359	9634
581	13381	9610
582	13408	9590
583	13439	9573
584	13469	9555
585	13517	9550
586	13579	9554
587	13637	9555
588	13662	9533
589	13695	9517
590	13761	9523
591	13791	9505
592	13820	9485
593	13843	9462
594	13860	9434
595	13876	9406
596	13897	9381
597	13914	9354
598	13933	9327
599	13954	9303
600	13972	9276
601	13991	9250
602	14010	9224
603	14026	9195
604	14044	9169
605	14067	9146
606	14092	9123
607	14115	9100
608	14137	9076
609	14156	9050
610	14175	9025
611	14199	9002
612	14217	8976
613	14238	8951
614	14258	8925
615	14278	8901
616	14298	8875
617	14316	8849
618	14332	8821
619	14350	8795
620	14368	8769
621	14384	8741
622	14404	8716
623	14418	8687
624	14434	8660
625	14449	8632
626	14465	8605
627	14478	8576
628	14490	8547
629	14501	8517
630	14511	8485
631	14524	8457
632	14539	8429
633	14552	8400
634	14572	8376
635	14587	8348
636	14603	8321
637	14615	8292
638	14626	8263
639	14639	8234
640	14652	8206
641	14662	8176
642	14672	8146
643	14681	8115
644	14690	8085
645	14700	8055
646	14709	8025
647	14719	7995
648	14730	7966
649	14740	7937
650	14750	7907
651	14758	7877
652	14768	7847
653	14779	7819
654	14792	7791
655	14805	7763
656	14815	7734
657	14824	7705
658	14833	7675
659	14844	7646
660	14853	7617
661	14864	7589
662	14873	7560
663	14882	7530
664	14891	7501
665	14902	7473
666	14912	7444
667	14920	7415
668	14930	7387
669	14940	7358
670	14949	7329
671	14958	7301
672	14969	7273
673	14979	7245
674	14989	7217
675	14998	7188
676	15008	7160
677	15018	7132
678	15027	7104
679	15036	7076
680	15045	7047
681	15054	7019
682	15063	6991
683	15071	6962
684	15080	6934
685	15088	6906
686	15096	6878
687	15104	6849
688	15111	6821
689	15119	6792
690	15126	6764
691	15135	6736
692	15144	6708
693	15152	6680
694	15160	6652
695	15168	6625
696	15177	6598
697	15186	6570
698	15194	6543
699	15203	6515
700	15212	6488
701	15233	6466
702	15242	6439
703	15252	6413
704	15263	6386
705	15271	6359
706	15282	6333
707	15292	6307
708	15302	6280
709	15311	6254
710	15320	6227
711	15330	6200
712	15342	6175
713	15359	6152
714	15380	6130
715	15391	6105
716	15400	6078
717	15410	6052
718	15421	6027
719	15431	6000
720	15441	5975
721	15451	5949
722	15461	5923
723	15474	5899
724	15485	5873
725	15505	5852
726	15520	5828
727	15533	5803
728	15547	5779
729	15575	5760
730	15592	5737
731	15604	5713
732	15622	5690
733	15633	5665
734	15653	5643
735	15670	5620
736	15679	5595
737	15688	5569
738	15697	5544
739	15710	5519
740	15728	5497
741	15745	5474
742	15755	5449
743	15766	5425
744	15775	5399
745	15786	5374
746	15796	5349
747	15806	5325
748	15823	5302
749	15840	5280
750	15850	5255
751	15864	5232
752	15878	5208
753	15897	5186
754	15908	5162
755	15918	5137
756	15927	5112
757	15937	5088
758	15947	5063
759	15957	5039
760	15966	5014
761	15975	4989
762	15986	4965
763	15996	4941
764	16006	4917
765	16015	4892
766	16025	4868
767	16034	4843
768	16044	4819
769	16054	4795
770	16065	4771
771	16075	4747
772	16085	4723
773	16098	4700
774	16108	4676
775	16117	4652
776	16127	4628
777	16137	4604
778	16147	4581
779	16158	4557
780	16167	4533
781	16177	4509
782	16188	4486
783	16200	4463
784	16210	4439
785	16220	4416
786	16231	4393
787	16241	4369
788	16252	4346
789	16261	4322
790	16270	4299
791	16279	4275
792	16289	4252
793	16298	4228
794	16307	4205
795	16316	4181
796	16326	4158
797	16336	4135
798	16345	4111
799	16355	4088
800	16365	4065
801	16375	4042
802	16385	4019
803	16395	3996
804	16405	3973
805	16414	3950
806	16423	3927
807	16433	3904
808	16443	3882
809	16451	3859
810	16462	3836
811	16471	3813
812	16482	3791
813	16491	3768
814	16500	3745
815	16510	3723
816	16519	3700
817	16529	3677
818	16540	3655
819	16549	3632
820	16560	3610
821	16570	3588
822	16581	3566
823	16590	3543
824	16600	3521
825	16609	3498
826	16618	3476
827	16628	3454
828	16638	3432
829	16648	3409
830	16657	3387
831	16667	3365
832	16676	3343
833	16685	3321
834	16695	3299
835	16707	3277
836	16718	3255
837	16728	3233
838	16737	3211
839	16747	3190
840	16757	3168
841	16766	3146
842	16775	3124
843	16783	3102
844	16794	3080
845	16802	3058
846	16811	3036
847	16820	3014
848	16829	2993
849	16839	2971
